,level,type,code,name,city_code,city_name,dist_code,dist_name,region_code,region_name
165,4,settlement,0100600001000,Колос,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
166,4,settlement,0100600001100,Кунчукохабль,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
167,4,settlement,0100600001200,Кочкин,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
168,4,settlement,0100600001300,Кочкин,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
169,4,settlement,0100600001400,Красное,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
170,4,settlement,0100600001500,Красненский,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
171,4,settlement,0100600001600,Начерезий,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
172,4,settlement,0100600001700,Нешукай,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
173,4,settlement,0100600001800,Нововочепший,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
174,4,settlement,0100600001900,Петров,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
175,4,settlement,0100600002200,Пчегатлукай,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
176,4,settlement,0100600002300,Пшикуйхабль,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
177,4,settlement,0100600002400,Тауйхабль,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
178,4,settlement,0100600002500,Тлюстенхабль,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
179,4,settlement,0100600002600,Тугургой,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
180,4,settlement,0100600002700,Чабанов,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
181,4,settlement,0100600002800,Четук,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
182,4,settlement,0100600002900,Шевченко,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
183,4,settlement,0100600003000,Шундук,,,0100600000000,Теучежский,0100000000000,Республика Адыгея
184,2,district,0100700000000,Шовгеновский,,,0100700000000,Шовгеновский,0100000000000,['0100000000000' 'Республика Адыгея']
185,4,settlement,0100700000100,Хакуринохабль,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
186,4,settlement,0100700000200,Веселый,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
187,4,settlement,0100700000300,Джерокай,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
188,4,settlement,0100700000400,Дорошенко,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
189,4,settlement,0100700000500,Дукмасов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
190,4,settlement,0100700000600,Задунаевский,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
191,4,settlement,0100700000700,Зарево,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
192,4,settlement,0100700000800,Кабехабль,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
193,4,settlement,0100700000900,Касаткин,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
194,4,settlement,0100700001000,Келеметов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
195,4,settlement,0100700001100,Киров,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
196,4,settlement,0100700001200,Лейбоабазов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
197,4,settlement,0100700001300,Лесхозный,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
198,4,settlement,0100700001500,Мамацев,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
199,4,settlement,0100700001600,Мамхег,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
200,4,settlement,0100700001700,Михайлов,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
201,4,settlement,0100700001800,Мокроназаров,,,0100700000000,Шовгеновский,0100000000000,Республика Адыгея
